url,title,author,price
1,/w/fourth-wing-rebecca-yarros/1142297916;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9781649374042,Fourth Wing,Rebecca Yarros,$26.99
2,/w/the-boy-who-wore-blue-stacy-chapin/1143567496;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9798218201937,The Boy Who Wore Blue,Stacy Chapin,$28.95
3,/w/iron-flame-rebecca-yarros/1143445645;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9781649374172,Iron Flame,Rebecca Yarros,$26.39
4,/w/the-book-of-charlie-david-von-drehle/1142483817;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9781476773926,The Book of Charlie: Wisdom from the Remarkable American Life of a 109-Year-Old Man,David Von Drehle,$23.40
5,/w/1964-paul-mccartney/1142974485;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9781324093060,1964: Eyes of the Storm,Paul McCartney,$63.75
6,/w/cross-down-james-patterson/1142509242;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9780316404594,Cross Down: An Alex Cross and John Sampson Thriller,James Patterson,$21.00
7,/w/the-puppeteers-jason-chaffetz/1142266270;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9780063034969,The Puppeteers: The People Who Control the People Who Control America,Jason Chaffetz,$32.00
8,/w/lore-olympus-rachel-smythe/1141982359;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9780593600078,Lore Olympus: Volume Four (B&N Exclusive Edition),Rachel Smythe,$21.99
9,/w/covenant-of-water-abraham-verghese/1142363849;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9780802162175,The Covenant of Water (Oprah's Book Club),Abraham Verghese,$24.99
10,/w/the-five-star-weekend-elin-hilderbrand/1142422496;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9780316571142,The Five-Star Weekend (B&N Exclusive Edition),Elin Hilderbrand,$21.00
11,/w/the-housemaid-freida-mcfadden/1142009317;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9781538742570,The Housemaid,Freida McFadden,$12.99
12,/w/happy-place-emily-henry/1141876774;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9780593639672,Happy Place (B&N Exclusive Edition),Emily Henry,$21.99
13,/w/good-night-irene-luis-alberto-urrea/1142507743;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9780316571913,"Good Night, Irene (Barnes & Noble Book Club Edition)",Luis Alberto Urrea,$23.20
14,/w/icebreaker-hannah-grace/1142730300;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9781668026038,Icebreaker: A Novel,Hannah Grace,$16.19
15,/w/love-theoretically-ali-hazelwood/1142531371;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9780593641293,"Love, Theoretically (B&N Exclusive Edition)",Ali Hazelwood,$15.30
16,/w/twisted-love-ana-huang/1141060121;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9781728274867,Twisted Love (Twisted Series #1),Ana Huang,$17.99
17,/w/twisted-hate-ana-huang/1141060116;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9781728274881,Twisted Hate (Twisted Series #3),Ana Huang,$17.99
18,/w/lessons-in-chemistry-bonnie-garmus/1139798102;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9780385547345,Lessons in Chemistry (B&N Book of the Year),Bonnie Garmus,$23.99
19,/w/twisted-games-ana-huang/1141060115;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9781728274874,Twisted Games (Twisted Series #2),Ana Huang,$17.99
20,/w/twisted-lies-ana-huang/1141710330;jsessionid=C2E50F0DCC310B0D81B95B8FA711D5F6.prodny_store02-atgap14?ean=9781728274898,Twisted Lies (Twisted Series #4),Ana Huang,$17.99
21,/w/oh-the-places-youll-go-dr-seuss/1100068206?ean=9780375972959,"Oh, the Places You'll Go! (B&N Exclusive Edition)",Dr. Seuss,$17.99
22,/w/a-court-of-wings-and-ruin-sarah-j-maas/1125299079?ean=9781635575606,A Court of Wings and Ruin (A Court of Thorns and Roses Series #3),Sarah J. Maas,$16.99
23,/w/a-court-of-mist-and-fury-sarah-j-maas/1123052907?ean=9781635575583,A Court of Mist and Fury (A Court of Thorns and Roses Series #2),Sarah J. Maas,$16.99
24,/w/house-of-flame-and-shadow-sarah-j-maas/1143213613?ean=9781635574104,House of Flame and Shadow (Crescent City Series #3),Sarah J. Maas,$25.50
